"Newsman","Newsman"
"General","General"
"Active","Activ"
"Send User IP Address","Trimiteți adresa IP a utilizatorului"
"Send user IP address to Newsman.","Trimiteți adresa IP a utilizatorului către Newsman."
"Disable or enable Newsman features.","Dezactivați sau activați funcțiile Newsman."
"API","API"
"User ID","ID-ul de utilizator"
"User Id","ID-ul de utilizator"
"User Id from your Newsman account.","ID de utilizator din contul dvs. Newsman."
"API Key","Cheia API"
"API Key from your Newsman account.","Cheia API din contul dvs. Newsman."
"API Timeout","Timeout API"
"API HTTP request timeout in seconds. Minimum 5 seconds.","Timp de expirare a solicitării HTTP API în secunde. Minim 5 secunde."
"Synchronize Lists and Segments","Sincronizați listele și segmentele"
"Please import in Magento all lists and segments without subscribers from Newsman.","Vă rugăm să importați în Magento toate listele și segmentele fără abonați de la Newsman."
"The lists and segments were synchronized.","Listele și segmentele au fost sincronizate."
"Something went wrong. Please try again.","Ceva a mers prost. Vă rugăm să încercați din nou."
"Please enter a valid Newsman user ID.","Vă rugăm să introduceți un ID valid de utilizator Newsman."
"Please enter a valid Newsman API key.","Vă rugăm să introduceți o cheie validă de API Newsman."
"List ID","ID-ul listei"
"Segment ID","ID-ul segmentului"
"All Newsman lists.","Toate listele Newsman."
"All Newsman segments. Selecting a segment is not mandatory. The segment ID must match corresponding list ID.","Toate segmentele Newsman. Selectarea unui segment nu este obligatorie. ID-ul segmentului trebuie să se potrivească cu ID-ul listei corespunzătoare."
"Please choose a list","Vă rugăm să alegeți o listă"
"List ID is required.","ID-ul listei este obligatoriu."
"Please choose a segment","Vă rugăm să alegeți un segment"
"Import your subscribers in your Newsman account from Magento admin.","Importă-ți abonații în contul Newsman din interfata de administrare Magento."
"Invalid email address %1","Adresă de e-mail nevalidă %1"
"Developer","Dezvoltator"
"Activate Test User IP","Activați Testare IP utilizator"
"Warning, do not use this IP address in production because it is used by API endpoint subscriber.saveSubscribe.","Atenție, nu utilizați această adresă IP în producție, deoarece este utilizată de API subscriber.saveSubscribe."
"Test User IP address","Testați adresa IP a utilizatorului"
"Valid user IP address.","Adresă IP validă a utilizatorului."
"Server IP address","Adresa IP a serverului"
"IP address of the server where Magento is hosted. It is used instead of users IP addresses.","Adresa IP a serverului unde este găzduit Magento. Este folosit în locul adreselor IP ale utilizatorilor."
